GDA	Gda
JARID2	Jarid2
LRRN2	Lrrn2
LRRN3	Lrrn3
MSRB1	Msrb1
FAM115C	Fam115c
NKAPL	Nkapl
MSRB2	Msrb2
MSRB3	Msrb3
FAM116A	Fam116a
SLC16A3	Slc16a3
SLC16A2	Slc16a2
AP2A2	Ap2a2
SLC16A5	Slc16a5
FBLN1	Fbln1
SLC16A4	Slc16a4
FAM116B	Fam116b
CTDNEP1	Ctdnep1
FAM229A	Fam229a
SLC16A7	Slc16a7
FAM229B	Fam229b
AP2A1	Ap2a1
FBLN2	Fbln2
SLC16A6	Slc16a6
GFPT1	Gfpt1
EEF1E1	Eef1e1
SLC16A9	Slc16a9
FBLN5	Fbln5
SLC16A8	Slc16a8
GFPT2	Gfpt2
FBLN7	Fbln7
LRRN1	Lrrn1
YJEFN3	Yjefn3
NHLH2	Nhlh2
TMEM176B	Tmem176b
NHLH1	Nhlh1
TMEM176A	Tmem176a
TTC9B	Ttc9b
TTC9C	Ttc9c
SLX4IP	Slx4ip
SLC25A21	Slc25a21
REG3A	Reg3a
SLC25A20	Slc25a20
C16orf86	4933405L10Rik
C16orf87	4921524J17Rik
SLC16A1	Slc16a1
DMXL1	Dmxl1
C16orf88	2310008H09Rik
DMXL2	Dmxl2
SLC25A25	Slc25a25
C16orf89	AU021092
SLC25A24	Slc25a24
SLC25A23	Slc25a23
SLC25A22	Slc25a22
SLC25A29	Slc25a29
SLC25A28	Slc25a28
SLC25A27	Slc25a27
REG3G	Reg3g
C16orf80	Gtl3
SLC25A26	Slc25a26
CSNK1G1	Csnk1g1
CSNK1G2	Csnk1g2
CCDC74A	Ccdc74a
LYPLA2	Lypla2
FAM118A	Fam118a
LYPLA1	Lypla1
CCDC74B	Ccdc74a
FAM118B	Fam118b
SLC25A30	Slc25a30
SLTM	Sltm
FAM222A	Fam222a
FAM222B	Fam222b
SLC25A32	Slc25a32
C16orf74	1190005I06Rik
SLC25A31	Slc25a31
SLC25A34	Slc25a34
SLC25A33	Slc25a33
C16orf78	4933402J07Rik
SLC25A36	Slc25a36
SLC25A35	Slc25a35
C16orf79	9930021D14Rik
SLC25A38	Slc25a38
SLC25A37	Slc25a37
SLU7	Slu7
CSNK1G3	Csnk1g3
SLC25A39	Slc25a39
C16orf72	1810013L24Rik
EMP3	Emp3
C16orf73	4930528F23Rik
EMP2	Emp2
EMP1	Emp1
C16orf70	D230025D16Rik
IL22RA1	Il22ra1
EEF1B2	Eef1b2
ASNSD1	Asnsd1
ATHL1	Athl1
PTPRCAP	Ptprcap
SLX4	Slx4
REG1B	Reg2
REG1A	Reg1
C16orf62	9030624J02Rik
SSX2IP	Ssx2ip
DEFB1	Defb1
EEF1A1	Eef1a1
TP53I11	Trp53i11
YIPF6	Yipf6
YIPF7	Yipf7
EEF1A2	Eef1a2
SLC25A12	Slc25a12
C16orf58	BC017158
C16orf59	1600002H07Rik
SLC25A11	Slc25a11
SLC25A14	Slc25a14
C16orf57	AA960436
SLC25A13	Slc25a13
EMR1	Emr1
C16orf54	AI467606
C16orf55	4732415M23Rik
SLC25A10	Slc25a10
C16orf52	BC030336
LCE1D	Lce1m
C16orf53	2900092E17Rik
YIPF3	Yipf3
SLC25A19	Slc25a19
YIPF2	Yipf2
YIPF5	Yipf5
YIPF4	Yipf4
SLC25A16	Slc25a16
SLC25A15	Slc25a15
TP53I13	Trp53i13
SLC25A18	Slc25a18
YIPF1	Yipf1
SLC25A17	Slc25a17
IL22RA2	Il22ra2
AEBP1	Aebp1
LCE3B	Lce3b
LCE3C	Lce3c
LCE3D	2310001H18Rik
RSRC2	Rsrc2
LARP1	Larp1
CCDC71L	Ccdc71l
NIPAL3	Nipal3
NIPAL2	Nipal2
NIPAL1	Nipal1
TNIP2	Tnip2
KIRREL2	Kirrel2
TNIP1	Tnip1
NIPAL4	Nipal4
KIRREL3	Kirrel3
TNIP3	Tnip3
ZW10	Zw10
NOXO1	Noxo1
LAS1L	Las1l
EML6	Eml6
FSHR	Fshr
EML5	Eml5
XRCC6BP1	Xrcc6bp1
EML4	Eml4
TUT1	Tut1
EML2	Eml2
EML3	Eml3
LARP6	Larp6
XPA	Xpa
XPC	Xpc
LARP4	Larp4
EML1	Eml1
ITGB1BP3	Itgb1bp3
CFL2	Cfl2
LARP7	Larp7
ITGB1BP1	Itgb1bp1
CFL1	Cfl1
ITGB1BP2	Itgb1bp2
MZT2A	Mzt2
SLPI	Slpi
MZT2B	Mzt2
DHPS	Dhps
FSHB	Fshb
SC5DL	Sc5d
VCPKMT	Vcpkmt
TPSG1	Tpsg1
ZNF804B	Zfp804b
TUBGCP4	Tubgcp4
TUBGCP3	Tubgcp3
TUBGCP6	Tubgcp6
TUBGCP5	Tubgcp5
SLC25A48	Slc25a48
HS6ST3	Hs6st3
SLC25A46	Slc25a46
SLC25A47	Slc25a47
HS6ST2	Hs6st2
HS6ST1	Hs6st1
SLC25A44	Slc25a44
SLC25A45	Slc25a45
FAM221B	Fam221b
SLC25A42	Slc25a42
FAM221A	Fam221a
SLC25A43	Slc25a43
SLC25A40	Slc25a40
ZNF804A	Zfp804a
SLC25A41	Slc25a41
STAMBP	Stambp
SP140L	Sp140
KRTAP9-1	Krtap9-5
TONSL	Tonsl
LCE6A	Lce6a
KRTAP9-3	Krtap9-3
LARS2	Lars2
TUBGCP2	Tubgcp2
C16orf95	1700018B08Rik
CSGALNACT1	Csgalnact1
C16orf93	Gm166
C16orf92	4930451I11Rik
ITPRIPL1	Itpripl1
C16orf91	BC003965
SULF2	Sulf2
C16orf90	1700037C18Rik
RSRC1	Rsrc1
SULF1	Sulf1
ITPRIPL2	Itpripl2
CSGALNACT2	Csgalnact2
SLC25A51	Slc25a51
SLC25A53	Slc25a53
FAM220A	Fam220a
C16orf96	4930562C15Rik
OSER1	Oser1
RUSC1	Rusc1
RUSC2	Rusc2
PGPEP1	Pgpep1
BAHCC1	Bahcc1
SMOX	Smox
GUCA2A	Guca2a
TPSB2	Tpsb2
DDAH2	Ddah2
GUCA2B	Guca2b
DDAH1	Ddah1
NWD1	Nwd1
NWD2	Nwd2
TIMMDC1	Timmdc1
LNP1	Gm19797
HMG20A	Hmg20a
HMG20B	Hmg20b
CWH43	Cwh43
ADAMTS7	Adamts7
ADAMTS6	Adamts6
ADAMTS9	Adamts9
ADAMTS8	Adamts8
FCHSD2	Fchsd2
LNPK	Lnpk
SMPX	Smpx
FDX1L	Fdx1l
ADAMTS1	Adamts1
MST1R	Mst1r
FCHSD1	Fchsd1
ADAMTS3	Adamts3
TM6SF1	Tm6sf1
ADAMTS2	Adamts2
TM6SF2	Tm6sf2
ADAMTS5	Adamts5
ADAMTS4	Adamts4
PRODH	Prodh
NAGLU	Naglu
ACP6	Acp6
ACP7	Acp7
ACP5	Acp5
PRRC2A	Prrc2a
ACP2	Acp2
PNMA8B	Pnmal2
PRRC2B	Prrc2b
PNMA8A	Pnmal1
PRRC2C	Prrc2c
SYPL2	Sypl2
ACP1	Acp1
MUSK	Musk
SYPL1	Sypl
PROCR	Procr
HEXIM2	Hexim2
HEXIM1	Hexim1
MKI67	Mki67
SPHK2	Sphk2
NDUFA4L2	Ndufa4l2
RFPL4AL1	Rfpl4
SPHK1	Sphk1
ACPT	Acpt
ACPP	Acpp
SYNGR3	Syngr3
SYNGR4	Syngr4
NUBPL	Nubpl
PAPPA2	Pappa2
CSTL1	Cstl1
AP3S2	Ap3s2
AP3S1	Ap3s1
QARS	Qars
RLIM	Rlim
ACN9	Acn9
LSM14A	Lsm14a
LSM14B	Lsm14b
NUBP1	Nubp1
NUBP2	Nubp2
MKRN2OS	Mkrn2os
PROB1	Prob1
MINDY3	Fam188a
MINDY4	Fam188b
IFIT1B	Ifit1
ACO2	Aco2
ACO1	Aco1
MINDY1	Fam63a
MINDY2	Fam63b
SMN2	Smn1
GLB1L2	Glb1l2
GLB1L3	Glb1l3
GRAMD1C	Gramd1c
GRAMD1B	Gramd1b
GRAMD1A	Gramd1a
CLOCK	Clock
CER1	Cer1
FFAR4	Ffar4
FFAR3	Ffar3
FFAR2	Ffar2
WRNIP1	Wrnip1
OR2A25	Olfr447
FFAR1	Ffar1
TWNK	Twnk
UEVLD	Uevld
NAGPA	Nagpa
EOGT	Eogt
CKMT2	Ckmt2
CCBP2	Ccbp2
CERK	Cerk
CES3	Ces3b
OR2A12	Olfr446
CES1	Ces1g
OR2A14	Olfr47
FTCD	Ftcd
ACLY	Acly
LARGE	Large
C18orf1	D18Ertd653e
C18orf8	3110002H16Rik
MMS19	Mms19
PGLYRP1	Pglyrp1
LNX2	Lnx2
LNX1	Lnx1
NRCAM	Nrcam
FAM49A	Fam49a
FAM49B	Fam49b
SMIM7	Smim7
PGLYRP4	Pglyrp4
RLN1	Rln1
MIER2	Mier2
SMIM6	Smim6
MIER1	Mier1
SMIM9	Smim9
PGLYRP2	Pglyrp2
RLN3	Rln3
RLN2	Rln1
SMIM8	Smim8
PGLYRP3	Pglyrp3
MIER3	Mier3
SMIM3	Smim3
SMIM5	Smim5
SMIM1	Smim1
DCTPP1	Dctpp1
ATG9B	Atg9b
TWF1	Twf1
TWF2	Twf2
ATG9A	Atg9a
VAX2	Vax2
VAX1	Vax1
CFC1	Cfc1
EARS2	Ears2
FAM48A	Fam48a
MFAP2	Mfap2
MFAP3	Mfap3
MFAP4	Mfap4
MFAP5	Mfap5
XDH	Xdh
ACHE	Ache
CCBL1	Ccbl1
DSCR6	Ripply3
DSCR3	Dscr3
CCBL2	Ccbl2
TMEM178A	Tmem178
TMEM178B	Tmem178b
ANGPTL7	Angptl7
ANGPTL6	Angptl6
ANGPTL8	Angptl8
TMA16	Tma16
ANGPTL1	Angptl1
ANGPTL3	Angptl3
ANGPTL2	Angptl2
ANGPTL4	Angptl4
SMG9	Smg9
VSTM4	Vstm4
VSTM5	Vstm5
O3FAR1	O3far1
VAV3	Vav3
B4GAT1	B4gat1
SMG6	Smg6
SMG5	Smg5
SMG8	Smg8
SMG7	Smg7
SMG1	Smg1
NEUROG1	Neurog1
NEUROG2	Neurog2
NEUROG3	Neurog3
VAV2	Vav2
TMEM179B	Tmem179b
VAV1	Vav1
XCL1	Xcl1
ACOX2	Acox2
ACOX1	Acox1
SMCP	Smcp
IFI44L	Ifi44l
SYNGR1	Syngr1
SYNGR2	Syngr2
STXBP5L	Stxbp5l
ACOX3	Acox3
TSPAN11	Tspan11
RSPO4	Rspo4
TSPAN12	Tspan12
TSPAN10	Tspan10
RSPO1	Rspo1
ITPRIP	Itprip
RSPO3	Rspo3
RSPO2	Rspo2
VASN	Vasn
ACOXL	Acoxl
VASP	Vasp
VAT1	Vat1
PPM1F	Ppm1f
PPM1G	Ppm1g
SASS6	Sass6
PPM1D	Ppm1d
ATG4D	Atg4d
PPM1E	Ppm1e
ATG4C	Atg4c
LOC100128071	1700125D06Rik
FAM120A	Fam120a
PPM1J	Ppm1j
CNBD2	Cnbd2
ATG4B	Atg4b
FAM120B	Fam120b
PPM1K	Ppm1k
ATG4A	Atg4a
FAM120C	Fam120c
PPM1H	Ppm1h
PPM1N	Ppm1n
PPM1L	Ppm1l
PPM1M	Ppm1m
LOC100129480	2510049J12Rik
3-Sep	3-Sep
ACCS	Accs
PPM1A	Ppm1a
KIF9	Kif9
PPM1B	Ppm1b
VARS	Vars
NGLY1	Ngly1
KIF7	Kif7
TSPAN33	Tspan33
AP3M2	Ap3m2
AP3M1	Ap3m1
KIF6	Kif6
TSPAN31	Tspan31
TSPAN32	Tspan32
GCHFR	Gchfr
GUCA1B	Guca1b
GUCA1A	Guca1a
MBTPS2	Mbtps2
HS3ST3A1	Hs3st3a1
IGLON5	Iglon5
TSPAN14	Tspan14
SMC5	Smc5
SAMHD1	Samhd1
TSPAN13	Tspan13
SMC6	Smc6
TSPAN15	Tspan15
GYG1	Gyg
TSPAN18	Tspan18
SMC2	Smc2
TSPAN17	Tspan17
SMC3	Smc3
SMC4	Smc4
SH3BGRL2	Sh3bgrl2
ACE2	Ace2
MAMLD1	Mamld1
SH3BGRL3	Sh3bgrl3
MBTPS1	Mbtps1
FASTKD3	Fastkd3
SNCG	Sncg
FASTKD1	Fastkd1
FASTKD2	Fastkd2
SNCB	Sncb
VAPA	Vapa
VAPB	Vapb
SNCA	Snca
TOMM20L	Tomm20l
SLC26A10	Slc26a10
SLC26A11	Slc26a11
FAM124B	Fam124b
ERLEC1	Erlec1
FAM124A	Fam124a
FAM125A	Fam125a
BRINP1	Brinp1
BDNF	Bdnf
BRINP2	Brinp2
FAM40B	Fam40b
TMEM185A	Tmem185a
TMEM185B	Tmem185b
BRINP3	Brinp3
FAM40A	Fam40a
PAN2	Pan2
NUDT16	Nudt16
NUDT17	Nudt17
NUDT18	Nudt18
PAN3	Pan3
NUDT19	Nudt19
NUDT12	Nudt12
NUDT13	Nudt13
NUDT14	Nudt14
NUDT15	Nudt15
ABCC10	Abcc10
CYP26A1	Cyp26a1
NUDT10	Nudt11
HCFC1R1	Hcfc1r1
NUDT11	Nudt11
ABCC12	Abcc12
FAM123A	Fam123a
FAM123C	Fam123c
FAM123B	Fam123b
TMEM184A	Tmem184a
TMEM184B	Tmem184b
TMEM184C	Tmem184c
FASTKD5	Fastkd5
ADD3	Add3
HS3ST3B1	Hs3st3b1
ADD2	Add2
ADD1	Add1
PALM	Palm
MRE11A	Mre11a
FAM122B	Fam122b
FAM122A	Fam122a
WDR45B	Wdr45b
ITGBL1	Itgbl1
GYS1	Gys1
GYS2	Gys2
AANAT	Aanat
TMEM183A	Tmem183a
IL1RAPL2	Il1rapl2
IL1RAPL1	Il1rapl1
OR2AG1	Olfr705
OR2AG2	Olfr706
NRBF2	Nrbf2
ADAL	Adal
YTHDC1	Ythdc1
YTHDC2	Ythdc2
HYOU1	Hyou1
WDR45L	Wdr45l
FAM43B	Fam43b
FAM43A	Fam43a
UTP14A	Utp14a
UTP14C	Utp14b
ADAR	Adar
LOC100288814	Gm6927
ENY2	Eny2
GYPC	Gypc
NIF3L1	Nif3l1
SLC15A1	Slc15a1
SLC15A2	Slc15a2
TBX22	Tbx22
TBX21	Tbx21
ORMDL1	Ormdl1
GYPA	Gypa
TBX20	Tbx20
NFKB1	Nfkb1
NFKB2	Nfkb2
N6AMT2	N6amt2
N6AMT1	N6amt1
PARN	Parn
PARL	Parl
AP3B2	Ap3b2
PARG	Parg
PBDC1	Pbdc1
FAM129C	Fam129c
FAM129B	Fam129b
FAM129A	Fam129a
XCR1	Xcr1
AP3B1	Ap3b1
CYR61	Cyr61
TFIP11	Tfip11
RXFP4	Rxfp4
TBX15	Tbx15
RXFP1	Rxfp1
TBX10	Tbx10
RXFP3	Rxfp3
RXFP2	Rxfp2
FAM45A	Fam45a
MIEN1	Mien1
ORMDL2	Ormdl2
ORMDL3	Ormdl3
TBX18	Tbx18
TBX19	Tbx19
BDP1	Bdp1
FNDC8	Fndc8
FAM46A	Fam46a
FNDC7	Fndc7
FAM46C	Fam46c
FAM46B	Fam46b
FNDC9	Fndc9
FAM46D	Fam46d
SUMO3	Sumo3
SUMO2	Sumo2
FNDC4	Fndc4
SUMO1	Sumo1
FNDC5	Fndc5
FNDC1	Fndc1
PAPL	C330005M16Rik
AFG1L	Afg1l
AP3D1	Ap3d1
FAM127C	Cxx1a
FAM127B	Cxx1c
TPRKB	Tprkb
FAM125B	Fam125b
SATL1	Satl1
PAOX	Paox
PTPRZ1	Ptprz1
ITPR3	Itpr3
FAM47C	Fam47c
ITPR1	Itpr1
FAM47A	Fam47a-ps
ITPR2	Itpr2
PAPOLB	Papolb
FAM47E	Fam47c
PAPOLA	Papola
NEUROD2	Neurod2
NEUROD1	Neurod1
NEUROD4	Neurod4
PAPOLG	Papolg
NEUROD6	Neurod6
SLC15A4	Slc15a4
SLC15A3	Slc15a3
FAM126B	Fam126b
SLC15A5	Slc15a5
FAM126A	Fam126a
CST9L	Cst9
NRBP1	Nrbp1
CCDC85C	Ccdc85c
WFS1	Wfs1
CCDC85B	Ccdc85b
OBP2A	Obp2a
CCDC85A	Ccdc85a
ITPKB	Itpkb
ITPKC	Itpkc
ITPKA	Itpka
PHOSPHO2	Phospho2
TFB2M	Tfb2m
PHOSPHO1	Phospho1
ITPK1	Itpk1
TMPRSS12	Tmprss12
TMPRSS13	Tmprss13
PAG1	Pag1
DSCAM	Dscam
TMPRSS15	Tmprss15
SATB1	Satb1
SATB2	Satb2
SOCS2	Socs2
SOCS3	Socs3
UBIAD1	Ubiad1
SOCS1	Socs1
SECISBP2	Secisbp2
SOCS6	Socs6
BICRAL	Gltscr1l
SOCS7	Socs7
SOCS4	Socs4
SOCS5	Socs5
TRERF1	Trerf1
SLITRK2	Slitrk2
SLITRK1	Slitrk1
SLITRK4	Slitrk4
SLITRK3	Slitrk3
OR5H14	Olfr193
OR5H15	Olfr187
CARTPT	Cartpt
PAF1	Paf1
COL24A1	Col24a1
TFB1M	Tfb1m
SLITRK6	Slitrk6
SLITRK5	Slitrk5
NRBP2	Nrbp2
DSCC1	Dscc1
PPME1	Ppme1
TFAP4	Tfap4
NINJ2	Ninj2
NINJ1	Ninj1
MUM1	Mum1
TPRG1	Tprg
ENSA	Ensa
TRIM43B	Trim43c
FTH1	Fth1
WT1	Wt1
TOMM7	Tomm7
TOMM6	Tomm6
TOMM5	Tomm5
SPIDR	Spidr
SCARB1	Scarb1
SCARB2	Scarb2
REEP6	Reep6
KRTAP8-1	Krtap8-1
CSTF3	Cstf3
ACY1	Acy1
CSTF2	Cstf2
ACY3	Acy3
MUL1	Mul1
MTRF1L	Mtrf1l
WRN	Wrn
REEP1	Reep1
REEP2	Reep2
REEP3	Reep3
REEP4	Reep4
REEP5	Reep5
DIO2	Dio2
DIO3	Dio3
FAM234A	Fam234a
FAM234B	Fam234b
HRASLS5	Hrasls5
SCARA3	Scara3
DIO1	Dio1
CSTF1	Cstf1
SCARA5	Scara5
OR4C46	Olfr1258
WRB	Wrb
FTMT	Ftmt
PAK6	Pak6
PAK7	Pak7
OR4C16	Olfr1199
OR4C15	Olfr1211
PAK2	Pak2
PAK3	Pak3
OR4C12	Olfr1255
PAK4	Pak4
PAK5	Pak7
OR4C11	Olfr1206
PAK1	Pak1
KPNB1	Kpnb1
MIEF2	Mief2
MIEF1	Mief1
WLS	Wls
HEPACAM2	Hepacam2
SMU1	Smu1
MURC	Murc
SMTN	Smtn
PABPN1L	Pabpn1l
KPNA7	Kpna7
KPNA6	Kpna6
KPNA4	Kpna4
KPNA3	Kpna3
KPNA2	Gm10259
KPNA1	Kpna1
PLVAP	Plvap
SCARF1	Scarf1
SCARF2	Scarf2
UTP11L	Utp11l
NUDT22	Nudt22
NUDT21	Nudt21
CYP26B1	Cyp26b1
ENO2	Eno2
ENO3	Eno3
BDH2	Bdh2
ENO4	Eno4
BDH1	Bdh1
ACTB	Actb
ARMC10	Armc10
ARMC12	Armc12
DIS3	Dis3
ACPL2	Acpl2
CYP26C1	Cyp26c1
SUMF1	Sumf1
SUMF2	Sumf2
TTI2	Tti2
C6orf222	4930539E08Rik
TTI1	Tti1
C6orf221	2410004A20Rik
C6orf226	2310039H08Rik
C6orf225	1700025K23Rik
PGAM1	Pgam1
PGAM2	Pgam2
C6orf228	BC024659
MYLIP	Mylip
PGAM5	Pgam5
IGLL1	Igll1
LRRC37A3	Lrrc37a
IGLL5	Igll1
L3MBTL4	L3mbtl4
CRTAM	Crtam
PCID2	Pcid2
MYLK3	Mylk3
MYLK4	Mylk4
CRTAP	Crtap
MYLK2	Mylk2
ZWINT	Zwint
PIDD1	Pidd1
CRTC3	Crtc3
CRTC2	Crtc2
C6orf203	1700021F05Rik
C6orf201	4933417A18Rik
SLC35E2B	Slc35e2
MTX3	Mtx3
MTX2	Mtx2
CRTC1	Crtc1
MTX1	Mtx1
RIC3	Ric3
RIC1	Ric1
GOLPH3L	Golph3l
SEPT14	Sept14
PCIF1	Pcif1
FOXRED2	Foxred2
C6orf211	1700052N19Rik
SEPT10	Sept10
SEPT11	Sept11
SEPT12	Sept12
FOXRED1	Foxred1
CYP2R1	Cyp2r1
RIDA	Rida
LZTS3	Lzts3
SPIN1	Spin1
ELF1	Elf1
LZTS2	Lzts2
CYP2J2	Cyp2j6
LZTS1	Lzts1
ELF2	Elf2
ELF3	Elf3
ELF4	Elf4
ELF5	Elf5
PRSS41	Prss41
SPAG17	Spag17
ASAH1	Asah1
SPAG16	Spag16
ASAH2	Asah2
ST6GALNAC5	St6galnac5
ST6GALNAC6	St6galnac6
ST6GALNAC3	St6galnac3
AASDHPPT	Aasdhppt
ST6GALNAC4	St6galnac4
SNPH	Snph
PRSS33	Prss33
PRSS36	Prss36
GFOD1	Gfod1
PRSS35	Prss35
GFOD2	Gfod2
SPIN4	Spin4
PRSS38	Prss38
PRSS37	Prss37
IAH1	Iah1
PGAP3	Pgap3
SH3PXD2B	Sh3pxd2b
PGAP2	Pgap2
TMCO7	Tmco7
NDUFB11	Ndufb11
TMCO6	Tmco6
SH3PXD2A	Sh3pxd2a
NDUFB10	Ndufb10
PGAP1	Pgap1
PRSS50	Prss50
DECR2	Decr2
TTF1	Ttf1
DECR1	Decr1
ST6GALNAC2	St6galnac2
TTF2	Ttf2
MTRR	Mtrr
ST6GALNAC1	St6galnac1
MTMR12	Mtmr12
MTMR11	Mtmr11
MTMR14	Mtmr14
MTMR10	Mtmr10
PRSS45	Prss45
WNT9B	Wnt9b
PRSS44	Prss44
LOC100130705	Gm9047
PRSS43	Prss43
VCAN	Vcan
TNFSF12-TNFSF13	BC096441
WNT9A	Wnt9a
PRSS42	Prss42
TMCO3	Tmco3
PRSS48	Prss48
TMCO4	Tmco4
TMCO1	Tmco1
TMCO2	Tmco2
PRSS46	Prss46
NHLRC2	Nhlrc2
NHLRC1	Nhlrc1
ACSL1	Acsl1
SNRK	Snrk
NHLRC3	Nhlrc3
NHLRC4	Nhlrc4
PPP3CB	Ppp3cb
PPP3CC	Ppp3cc
PRSS16	Prss16
PPP3CA	Ppp3ca
ACSL4	Acsl4
LMLN	Lmln
ACSL3	Acsl3
ACSL6	Acsl6
C1GALT1	C1galt1
WNT8A	Wnt8a
PRSS12	Prss12
ACSL5	Acsl5
WNT8B	Wnt8b
LZTR1	Lztr1
NSFL1C	Nsfl1c
STRADA	Strada
LMNA	Lmna
STRADB	Stradb
MTTP	Mttp
ACSM3	Acsm3
WNT7B	Wnt7b
ACSM1	Acsm1
KCMF1	Kcmf1
PTP4A3	Ptp4a3
HNRNPUL2	Hnrnpul2
HNRNPUL1	Hnrnpul1
PTP4A1	Ptp4a1
PTP4A2	Ptp4a2
PRSS27	Prss27
PRSS23	Prss23
WNT7A	Wnt7a
PRSS22	Prss22
PRSS21	Prss21
ACSM5	Acsm5
ACSM4	Acsm4
OR2AK2	Olfr318
LMO1	Lmo1
LMO2	Lmo2
LMO3	Lmo3
LMO4	Lmo4
ZXDC	Zxdc
NDUFAB1	Ndufab1
LMO7	Lmo7
ZXDB	Zxdb
CYP2W1	Cyp2w1
ZXDA	Zxdb
C2CD2L	C2cd2l
CIB4	Cib4
PVALB	Pvalb
SND1	Snd1
ATF6B	Atf6b
MTURN	Mturn
CIB2	Cib2
CIB3	Cib3
MTUS1	Mtus1
MTUS2	Mtus2
CIB1	Cib1
STMN3	Stmn3
STMN2	Stmn2
STMN4	Stmn4
FAM18A	Fam18a
YTHDF2	Ythdf2
YTHDF1	Ythdf1
XRRA1	Xrra1
ANKRD13A	Ankrd13a
YTHDF3	Ythdf3
ANKRD13D	Ankrd13d
ANKRD13C	Ankrd13c
ANKRD13B	Ankrd13b
VAMP8	Vamp8
VAMP7	Vamp7
VAMP5	Vamp5
C2CD4C	C2cd4c
C2CD4B	C2cd4b
VAMP4	Vamp4
C2CD4A	C2cd4a
VAMP3	Vamp3
NEURL4	Neurl4
VAMP2	Vamp2
STMN1	Stmn1
PDCD6IP	Pdcd6ip
NEURL2	Neurl2
VAMP1	Vamp1
NEURL3	Neurl3
NEURL1	Neurl1a
ARFGAP1	Arfgap1
ARFGAP2	Arfgap2
ARFGAP3	Arfgap3
WDCP	Wdcp
PPIL1	Ppil1
PPIL2	Ppil2
TTC9	Ttc9
ORAOV1	Oraov1
TTC8	Ttc8
TTC5	Ttc5
TTC3	Ttc3
TTC4	Ttc4
LKAAEAR1	Lkaaear1
TTC1	Ttc1
PRKRA	Prkra
SNF8	Snf8
PPIL4	Ppil4
PPIL3	Ppil3
PPIL6	Ppil6
MUC1	Muc1
MUC2	Muc2
RILP	Rilp
R3HDML	R3hdml
MUC6	Muc6
MUC4	Muc4
R3HDM1	R3hdm1
R3HDM2	R3hdm2
R3HDM4	R3hdm4
NDUFAF4	Ndufaf4
NDUFAF5	Ndufaf5
NDUFAF6	Ndufaf6
NDUFAF7	Ndufaf7
NDUFAF8	Ndufaf8
CYP2S1	Cyp2s1
DHRSX	Dhrsx
ACSF3	Acsf3
NDUFAF1	Ndufaf1
NDUFAF2	Ndufaf2
ACSF2	Acsf2
NDUFAF3	Ndufaf3
PLRG1	Plrg1
DKC1	Dkc1
IAPP	Iapp
RAET1L	Raet1e
SPECC1L	Specc1l
IL18RAP	Il18rap
DHRS9	Dhrs9
IFI16	Mndal
DHRS7	Dhrs7
DHRS1	Dhrs1
FOLH1	Folh1
DHRS3	Dhrs3
DHRS4	Dhrs4
RIF1	Rif1
HAUS7	Haus7
HAUS8	Haus8
CYP2U1	Cyp2u1
HAUS4	Haus4
HAUS3	Haus3
HAUS6	Haus6
HAUS5	Haus5
HAUS2	Haus2
HAUS1	Haus1
C2CD4D	C2cd4d
LOC375190	A830093I24Rik
GRAMD3	Gramd3
FAM13A	Fam13a
GRAMD4	Gramd4
FAM13B	Fam13b
GRAMD2	Gramd2
FAM13C	Fam13c
IARS	Iars
KLK6	Klk6
KLK7	Klk7
KLK8	Klk8
TNFSF4	Tnfsf4
KLK9	Klk9
OR2B11	Olfr222
KLK4	Klk4
KLK5	Klk5
KLK1	Klk1
TNFSF9	Tnfsf9
TNFSF8	Tnfsf8
CYP3A4	Cyp3a13
CYP3A5	Cyp3a16
CYP3A7	Cyp3a13
CHIA	Chia
IARS2	Iars2
PRKG2	Prkg2
PRKG1	Prkg1
TMEM151B	Tmem151b
UXS1	Uxs1
GDPGP1	Gdpgp1
TMEM151A	Tmem151a
MTG1	Mtg1
RSPH1	Rsph1
MTG2	Mtg2
COL12A1	Col12a1
SAP30L	Sap30l
TMEM150C	Tmem150c
VANGL1	Vangl1
VANGL2	Vangl2
IFI44	Ifi44
RSPH9	Rsph9
TMEM150B	Tmem150b
TMEM150A	Tmem150a
MTF1	Mtf1
MTF2	Mtf2
EEFSEC	Eefsec
CHGB	Chgb
CHKA	Chka
COASY	Coasy
CHKB	Chkb
IFI30	Ifi30
BDKRB1	Bdkrb1
BDKRB2	Bdkrb2
IFI35	Ifi35
BCOR	Bcor
KLF5	Klf5
ASPSCR1	Aspscr1
KLF6	Klf6
KLF7	Klf7
KLF8	Klf8
HPCAL1	Hpcal1
KLF9	Klf9
HPCAL4	Hpcal4
CEP85L	Cep85l
AGER	Ager
IFI27	Ifi27
PCNXL2	Pcnxl2
PCNXL3	Pcnxl3
BCO1	Bco1
RIT1	Rit1
RIT2	Rit2
KLF2	Klf2
KLF1	Klf1
KLF4	Klf4
BCO2	Bco2
KLF3	Klf3
VBP1	Vbp1
SOBP	Sobp
RFXANK	Rfxank
ATG2B	Atg2b
TRIAP1	Triap1
AGPAT6	Agpat6
AGPAT5	Agpat5
RINL	Rinl
NSMCE1	Nsmce1
ATG2A	Atg2a
AGPAT9	Agpat9
NSMCE3	Nsmce3
MTBP	Mtbp
NSMCE2	Nsmce2
AGPAT4	Agpat4
AGPAT3	Agpat3
AGPAT2	Agpat2
DEDD2	Dedd2
AGPAT1	Agpat1
